date,fund_name,nav,cap,fund_type
2013-12-25,DSP Midcap Fund,20.404,Mid Cap,Equity
2013-12-26,DSP Midcap Fund,20.4,Mid Cap,Equity
2013-12-27,DSP Midcap Fund,20.412,Mid Cap,Equity
2013-12-28,DSP Midcap Fund,20.412,Mid Cap,Equity
2013-12-29,DSP Midcap Fund,20.412,Mid Cap,Equity
2013-12-30,DSP Midcap Fund,20.447,Mid Cap,Equity
2013-12-31,DSP Midcap Fund,20.628,Mid Cap,Equity
2014-01-01,DSP Midcap Fund,20.725,Mid Cap,Equity
2014-01-02,DSP Midcap Fund,20.387,Mid Cap,Equity
2014-01-03,DSP Midcap Fund,20.454,Mid Cap,Equity
2014-01-04,DSP Midcap Fund,20.454,Mid Cap,Equity
2014-01-05,DSP Midcap Fund,20.454,Mid Cap,Equity
2014-01-06,DSP Midcap Fund,20.681,Mid Cap,Equity
2014-01-07,DSP Midcap Fund,20.617,Mid Cap,Equity
2014-01-08,DSP Midcap Fund,20.716,Mid Cap,Equity
2014-01-09,DSP Midcap Fund,20.556,Mid Cap,Equity
2014-01-10,DSP Midcap Fund,20.416,Mid Cap,Equity
2014-01-11,DSP Midcap Fund,20.416,Mid Cap,Equity
2014-01-12,DSP Midcap Fund,20.416,Mid Cap,Equity
2014-01-13,DSP Midcap Fund,20.458,Mid Cap,Equity
2014-01-14,DSP Midcap Fund,20.323,Mid Cap,Equity
2014-01-15,DSP Midcap Fund,20.412,Mid Cap,Equity
2014-01-16,DSP Midcap Fund,20.307,Mid Cap,Equity
2014-01-17,DSP Midcap Fund,19.984,Mid Cap,Equity
2014-01-18,DSP Midcap Fund,19.984,Mid Cap,Equity
2014-01-19,DSP Midcap Fund,19.984,Mid Cap,Equity
2014-01-20,DSP Midcap Fund,20.232,Mid Cap,Equity
2014-01-21,DSP Midcap Fund,20.352,Mid Cap,Equity
2014-01-22,DSP Midcap Fund,20.408,Mid Cap,Equity
2014-01-23,DSP Midcap Fund,20.292,Mid Cap,Equity
2014-01-24,DSP Midcap Fund,19.907,Mid Cap,Equity
2014-01-25,DSP Midcap Fund,19.907,Mid Cap,Equity
2014-01-26,DSP Midcap Fund,19.907,Mid Cap,Equity
2014-01-27,DSP Midcap Fund,19.338,Mid Cap,Equity
2014-01-28,DSP Midcap Fund,19.382,Mid Cap,Equity
2014-01-29,DSP Midcap Fund,19.389,Mid Cap,Equity
2014-01-30,DSP Midcap Fund,19.146,Mid Cap,Equity
2014-01-31,DSP Midcap Fund,19.398,Mid Cap,Equity
2014-02-01,DSP Midcap Fund,19.398,Mid Cap,Equity
2014-02-02,DSP Midcap Fund,19.398,Mid Cap,Equity
2014-02-03,DSP Midcap Fund,19.213,Mid Cap,Equity
2014-02-04,DSP Midcap Fund,19.185,Mid Cap,Equity
2014-02-05,DSP Midcap Fund,19.31,Mid Cap,Equity
2014-02-06,DSP Midcap Fund,19.293,Mid Cap,Equity
2014-02-07,DSP Midcap Fund,19.406,Mid Cap,Equity
2014-02-08,DSP Midcap Fund,19.406,Mid Cap,Equity
2014-02-09,DSP Midcap Fund,19.406,Mid Cap,Equity
2014-02-10,DSP Midcap Fund,19.474,Mid Cap,Equity
2014-02-11,DSP Midcap Fund,19.567,Mid Cap,Equity
2014-02-12,DSP Midcap Fund,19.632,Mid Cap,Equity
2014-02-13,DSP Midcap Fund,19.414,Mid Cap,Equity
2014-02-14,DSP Midcap Fund,19.408,Mid Cap,Equity
2014-02-15,DSP Midcap Fund,19.408,Mid Cap,Equity
2014-02-16,DSP Midcap Fund,19.408,Mid Cap,Equity
2014-02-17,DSP Midcap Fund,19.387,Mid Cap,Equity
2014-02-18,DSP Midcap Fund,19.556,Mid Cap,Equity
2014-02-19,DSP Midcap Fund,19.635,Mid Cap,Equity
2014-02-20,DSP Midcap Fund,19.633,Mid Cap,Equity
2014-02-21,DSP Midcap Fund,19.838,Mid Cap,Equity
2014-02-22,DSP Midcap Fund,19.838,Mid Cap,Equity
2014-02-23,DSP Midcap Fund,19.838,Mid Cap,Equity
2014-02-24,DSP Midcap Fund,19.983,Mid Cap,Equity
2014-02-25,DSP Midcap Fund,20.025,Mid Cap,Equity
